TICKER,BASEINDX,TICKERNAME,OPTIONALBLE,LEVFACTOR,STOPFFACTOR
UVXY,^VIX,VIX short-term 2x,Y,2,2.25
XIV,^VIX,VIX Short-term 1x Short,N,-1,2.25
UPRO,^GSPC,S&P 500 3x Bull,Y,3,2.25
SPXU,^GSPC,S&P 500 3x Bear,Y,-3,2.25
QQQ,^NDX,NASDAQ ETF,Y,1,2.25
TQQQ,^NDX,NASDAQ 3x Bull,Y,3,2.25
SQQQ,^NDX,NASDAQ 3x Bear,Y,-3,2.25
IWM,^RUT,Russell 2000 ETF,Y,1,2.25
FAS,WFC,Finacials 3x Bull,Y,3,2.25
FAZ,WFC,Finacials 3x Bear,Y,-3,2.25
TNA,^RUT,Small Caps 3x Bull,Y,3,2.25
TZA,^RUT,Small Caps 3x Bear,Y,-3,2.25
NUGT,GLD,Gold 3x Bull,Y,3,2.25
DUST,GLD,Gold 3x Bear,Y,-3,2.25
TMF,TLT,20+ Tres 3x Bull,Y,3,2.25
TMV,TLT,20+ Tres 3x Bear,Y,-3,2.25
